left	right	classes	next_symb
??11	?1	bm_ire_4 - bm_ire_2, bm_ire_4 - bm_tre_2, bm_tre_4 - bm_ire_2, bm_tre_4 - bm_tre_2	?111
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	a
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	A
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	Aa
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	aa
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	?
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	1
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	??
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	?1
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	?11
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	??11
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	11
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	111
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	?AA1
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	?AA11
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	A1
??11	?11	bm_ire_4 - bm_iri_3, bm_ire_4 - bm_tri_3, bm_tre_4 - bm_iri_3, bm_tre_4 - bm_tri_3	?111
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	a
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	A
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	Aa
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	aa
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	?
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	1
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	??
